,filename,width,height,class,xmin,ymin,xmax,ymax
312,armas (2809).jpg,961,606,pistol,160,286,574,604
313,armas (524).jpg,309,163,pistol,10,3,158,102
314,armas (1233).jpg,500,321,pistol,1,5,498,317
315,armas (1399).jpg,500,422,pistol,17,170,318,398
316,armas (1399).jpg,500,422,pistol,138,13,483,276
317,armas (1663).jpg,500,375,pistol,249,149,287,185
318,armas (932).jpg,185,272,pistol,108,48,138,79
319,armas (898).jpg,275,183,pistol,112,16,195,151
320,armas (876).jpg,183,275,pistol,79,66,92,93
321,armas (1377).jpg,500,335,pistol,174,82,473,275
322,armas (175).jpg,640,360,pistol,273,105,355,171
323,armas (1727).jpg,500,172,pistol,5,6,239,167
324,armas (1727).jpg,500,172,pistol,262,7,493,164
325,armas (2808).jpg,300,450,pistol,51,28,229,428
326,armas (525).jpg,279,180,pistol,95,42,255,154
327,armas (1398).jpg,500,333,pistol,279,162,354,229
328,armas (460).jpg,680,1023,pistol,148,692,361,915
329,armas (1662).jpg,500,375,pistol,137,52,472,275
330,armas (933).jpg,270,187,pistol,167,92,235,147
331,armas (899).jpg,277,182,pistol,140,72,176,104
332,armas (749).jpg,1600,668,pistol,339,350,1075,667
333,armas (749).jpg,1600,668,pistol,484,1,1292,464
334,armas (2367).jpg,160,120,pistol,1,3,158,115
335,armas (1818).jpg,512,364,pistol,144,233,183,285
336,armas (2737).jpg,160,120,pistol,2,17,158,119
337,armas (2222).jpg,160,120,pistol,6,1,158,117
338,armas (42).jpg,660,440,pistol,160,99,321,193
339,armas (572).jpg,899,628,pistol,61,41,719,425
340,armas (1770).jpg,320,240,pistol,24,24,310,186
341,armas (122).jpg,1300,1300,pistol,51,500,501,735
342,armas (1320).jpg,980,1000,pistol,21,38,921,950
343,armas (821).jpg,300,165,pistol,19,23,288,141
344,armas (2019).jpg,299,470,pistol,119,330,175,396
345,armas (964).jpg,262,193,pistol,26,14,126,92
346,armas (1635).jpg,485,500,pistol,307,143,351,184
347,armas (437).jpg,705,1023,pistol,64,283,180,378
348,armas (1265).jpg,500,333,pistol,91,37,378,264
349,armas (2760).jpg,160,120,pistol,4,2,155,119
350,armas (2330).jpg,160,120,pistol,2,2,154,116
351,armas (1009).jpg,290,174,pistol,215,36,248,71
352,armas (1459).jpg,333,500,pistol,13,120,333,442
353,armas (15).jpg,1300,866,pistol,179,135,1084,815
354,armas (2275).jpg,160,120,pistol,4,3,157,118
355,armas (837).jpg,178,282,pistol,33,16,148,211
356,armas (1336).jpg,1024,768,pistol,71,68,1021,617
357,armas (134).jpg,1103,1620,pistol,37,200,199,363
358,armas (2849).jpg,590,421,pistol,103,140,376,397
359,armas (1766).jpg,400,287,pistol,19,17,378,268
360,armas (564).jpg,640,480,pistol,65,1,564,443
361,armas (1789).jpg,610,394,pistol,82,90,386,234
362,armas (1273).jpg,500,333,pistol,221,90,251,108
363,armas (421).jpg,682,1023,pistol,293,443,378,623
364,armas (1623).jpg,500,256,pistol,13,9,468,247
365,armas (972).jpg,266,190,pistol,95,15,231,116
366,armas (708).jpg,700,500,pistol,466,167,639,300
367,armas (358).jpg,640,447,pistol,68,3,430,427
368,armas (2326).jpg,160,120,pistol,3,4,154,114
369,armas (2776).jpg,160,120,pistol,2,1,155,115
370,armas (1859).jpg,2592,1944,pistol,1144,874,1300,1254
371,armas (2263).jpg,160,120,pistol,5,7,157,115
372,armas (2799).jpg,640,347,pistol,228,98,497,274
373,armas (2633).jpg,160,120,pistol,8,5,155,115
374,armas (533).jpg,259,194,pistol,8,8,88,60
375,armas (533).jpg,259,194,pistol,140,26,212,77
376,armas (533).jpg,259,194,pistol,29,127,102,176
377,armas (533).jpg,259,194,pistol,150,129,232,175
378,armas (1731).jpg,500,333,pistol,26,45,450,274
379,armas (1361).jpg,500,375,pistol,280,83,429,271
380,armas (1361).jpg,500,375,pistol,73,84,317,200
381,armas (499).jpg,192,128,pistol,34,21,147,103
382,armas (860).jpg,266,189,pistol,69,51,219,104
383,armas (2058).jpg,300,377,pistol,70,146,196,369
384,armas (2408).jpg,160,120,pistol,3,2,158,114
385,armas (1674).jpg,500,334,pistol,1,1,498,333
386,armas (476).jpg,846,1023,pistol,566,184,643,290
387,armas (1224).jpg,570,359,pistol,6,31,534,336
388,armas (2721).jpg,160,120,pistol,2,1,157,115
389,armas (2371).jpg,160,120,pistol,4,5,154,106
390,armas (1048).jpg,275,183,pistol,4,37,125,105
391,armas (54).jpg,800,1200,pistol,569,587,681,709
392,armas (2664).jpg,160,120,pistol,3,3,157,116
393,armas (2023).jpg,1129,1390,pistol,471,646,599,716
394,armas (2473).jpg,160,120,pistol,2,1,155,117
395,armas (2920).jpg,168,127,pistol,123,38,155,61
396,armas (2920).jpg,168,127,pistol,129,54,164,81
397,armas (548).jpg,275,183,pistol,1,56,77,160
398,armas (548).jpg,275,183,pistol,42,47,150,154
399,armas (548).jpg,275,183,pistol,117,46,213,146
400,armas (548).jpg,275,183,pistol,169,39,273,142
401,armas (2865).jpg,525,343,pistol,39,48,516,321
402,armas (118).jpg,1300,866,pistol,113,234,459,510
403,armas (2166).jpg,160,120,pistol,3,1,157,108
404,armas (2536).jpg,160,120,pistol,3,3,157,113
405,armas (231).jpg,425,260,pistol,168,214,217,255
406,armas (1033).jpg,183,276,pistol,42,106,62,131
407,armas (1463).jpg,500,375,pistol,197,189,385,315
408,armas (1463).jpg,500,375,pistol,281,86,336,160
409,armas (1930).jpg,1500,1289,pistol,470,201,1205,1081
410,armas (1875).jpg,800,532,pistol,345,210,603,394
411,armas (1176).jpg,1280,960,pistol,352,155,1221,818
412,armas (374).jpg,2762,1921,pistol,864,266,1764,1154
413,armas (1526).jpg,387,500,pistol,83,350,108,383
414,armas (1526).jpg,387,500,pistol,36,76,73,186
415,armas (1526).jpg,387,500,pistol,250,57,294,85
416,armas (1526).jpg,387,500,pistol,290,167,333,198
417,armas (1526).jpg,387,500,pistol,183,388,193,409
418,armas (724).jpg,420,236,pistol,21,83,207,178
419,armas (2977).jpg,760,448,pistol,34,13,734,410
420,armas (2424).jpg,160,120,pistol,5,2,157,118
421,armas (2074).jpg,690,388,pistol,90,68,583,304
422,armas (2561).jpg,160,120,pistol,2,3,156,120
423,armas (2131).jpg,300,157,pistol,163,120,195,154
424,armas (2998).jpg,971,501,pistol,472,207,828,467
425,armas (2832).jpg,504,311,pistol,7,1,502,179
426,armas (2218).jpg,160,120,pistol,1,2,157,119
427,armas (2648).jpg,160,120,pistol,5,1,155,118
428,armas (78).jpg,300,450,pistol,36,112,157,276
429,armas (636).jpg,615,409,pistol,180,126,257,182
430,armas (1064).jpg,356,540,pistol,67,15,91,187
431,armas (773).jpg,300,206,pistol,23,7,271,198
432,armas (323).jpg,540,432,pistol,112,42,193,322
433,armas (1121).jpg,1200,801,pistol,869,168,1099,396
434,armas (1988).jpg,900,675,pistol,3,126,900,673
435,armas (97).jpg,400,267,pistol,150,42,329,124
436,armas (2598).jpg,160,120,pistol,2,12,157,107
437,armas (2432).jpg,160,120,pistol,1,1,158,117
438,armas (2961).jpg,931,695,pistol,35,10,824,613
439,armas (509).jpg,296,170,pistol,71,12,239,123
440,armas (2824).jpg,478,324,pistol,178,77,456,236
441,armas (159).jpg,300,450,pistol,42,188,82,262
442,armas (2127).jpg,634,634,pistol,159,412,264,508
443,armas (2577).jpg,160,120,pistol,5,1,155,116
444,armas (1588).jpg,500,271,pistol,1,18,494,260
445,armas (270).jpg,1200,900,pistol,174,465,960,652
446,armas (1072).jpg,400,298,pistol,8,8,397,289
447,armas (1422).jpg,500,335,pistol,67,36,277,230
448,armas (1834).jpg,895,449,pistol,544,274,652,356
449,armas (1834).jpg,895,449,pistol,402,339,446,446
450,armas (81).jpg,113,168,pistol,25,72,50,124
451,armas (335).jpg,379,470,pistol,274,63,316,202
452,armas (765).jpg,300,241,pistol,23,45,288,228
453,armas (1249).jpg,500,375,pistol,11,50,485,341
454,armas (1619).jpg,500,333,pistol,308,133,340,165
455,armas (948).jpg,252,200,pistol,32,31,192,133
456,armas (2465).jpg,160,120,pistol,24,38,151,111
457,armas (2035).jpg,420,300,pistol,52,99,197,282
458,armas (2035).jpg,420,300,pistol,320,61,341,153
459,armas (2520).jpg,160,120,pistol,3,4,155,113
460,armas (2170).jpg,160,120,pistol,2,1,158,112
461,armas (2873).jpg,400,270,pistol,23,17,373,253
462,armas (2259).jpg,160,120,pistol,1,3,158,112
463,armas (1926).jpg,640,424,pistol,35,1,640,360
464,armas (2609).jpg,160,120,pistol,6,3,148,110
465,armas (1475).jpg,500,373,pistol,23,112,418,340
466,armas (677).jpg,640,400,pistol,36,99,204,340
467,armas (1025).jpg,183,276,pistol,113,128,161,206
468,armas (1025).jpg,183,276,pistol,86,127,116,206
469,armas (227).jpg,254,198,pistol,15,12,118,81
470,armas (227).jpg,254,198,pistol,142,16,245,80
471,armas (227).jpg,254,198,pistol,21,105,118,182
472,armas (227).jpg,254,198,pistol,130,116,247,175
473,armas (1530).jpg,500,375,pistol,35,56,480,350
474,armas (362).jpg,750,471,pistol,10,19,716,436
475,armas (698).jpg,652,360,pistol,248,25,405,360
476,armas (1160).jpg,450,308,pistol,1,79,139,135
477,armas (1160).jpg,450,308,pistol,285,1,437,66
478,armas (1863).jpg,320,180,pistol,38,16,273,159
479,armas (2691).jpg,160,120,pistol,2,1,155,116
480,armas (1117).jpg,600,400,pistol,375,77,548,190
481,armas (315).jpg,270,194,pistol,16,90,98,125
482,armas (1547).jpg,313,500,pistol,101,278,149,382
483,armas (745).jpg,650,500,pistol,37,46,645,397
484,armas (250).jpg,379,261,pistol,10,4,371,253
485,armas (1052).jpg,4272,2848,pistol,1302,750,3296,2090
486,armas (600).jpg,354,199,pistol,148,44,259,162
487,armas (1402).jpg,500,375,pistol,104,163,328,304
488,armas (1402).jpg,500,375,pistol,154,80,384,249
489,armas (2384).jpg,160,120,pistol,3,1,159,116
490,armas (529).jpg,215,234,pistol,31,22,191,191
491,armas (179).jpg,980,552,pistol,176,1,863,462
492,armas (1681).jpg,375,500,pistol,240,220,265,243
493,armas (1681).jpg,375,500,pistol,231,128,278,146
494,armas (483).jpg,1023,716,pistol,428,306,517,586
495,armas (2107).jpg,400,300,pistol,3,2,397,297
496,armas (2557).jpg,160,120,pistol,4,1,157,117
497,armas (2042).jpg,1300,954,pistol,440,258,876,549
498,armas (895).jpg,268,188,pistol,72,62,107,117
